dtxsid,aver_toxvalmgL,error,species_common,toxval_type,exactMass,molformula,aver_toxval_cm,weight
DTXSID5025607,1.0075301963243253,-0.2,bluegill,LC50stat,178.099379691,C11H14O2,-1.2431322105210354,2.4224149331700895
DTXSID8025961,1.9105798751212433,0.09174626282636279,bluegill,LC50stat,74.036779433,C3H6O2,0.0411323562464426,3.254994260901688
DTXSID1026089,0.9225644335984482,-0.2,bluegill,LC50stat,213.8910609,C6H2Cl4,-1.4076282009827759,2.4224149331700895
DTXSID8026488,0.3096500587698533,-0.2,bluegill,LC50stat,136.1252005152,C10H16,-1.8242884737190892,2.4224149331700895
DTXSID4026501,0.85317827584354,-0.2,bluegill,LC50stat,136.1252005152,C10H16,-1.2807602566454026,2.4224149331700895
DTXSID3026514,1.685055844523782,-0.2,bluegill,LC50stat,147.032028405,C8H5NO2,-0.4823561041321792,2.4224149331700895
DTXSID3026645,1.617931058488186,-0.2,bluegill,LC50stat,134.1095504508,C10H14,-0.5095286482253933,2.4224149331700895
DTXSID0026880,1.8760463374705139,-0.2,bluegill,LC50stat,146.057908802,C6H10O4,-0.2884787408268828,2.4224149331700895
DTXSID9032329,0.374382118302832,0.17524770594349237,bluegill,LC50stat,397.060508777,C14H24NO4PS3,-2.224474576433915,3.254994260901688
DTXSID1032480,-1.5734348554729962,0.328961653174431,bluegill,LC50stat,310.111881,C12H27FSn,-4.06495326071031,2.4224149331700895
DTXSID4032613,0.6668291542104954,0.2321811540220166,bluegill,LC50stat,277.017380662,C9H12NO5PS,-1.7756778642719837,2.729695190827301
DTXSID3034583,1.0016805140808098,0.6693568617690722,bluegill,LC50stat,214.099379691,C14H14O2,-1.3289348949363466,1.8971158630957023
DTXSID9034816,1.3438399008403779,0.3261761068531819,bluegill,LC50stat,223.060959553,C7H14NO5P,-1.0045836652553597,2.4224149331700895
